Pomerance CUDA x16halvenonsplit prototype

p = 1000000000000000000000000103
mode = x16ecoverd3probe
seed_offset = 0
seed_mode = identity
max_trials = 100000000
chunk_trials = 100000000
probe_target_depth = 24
probe_prefix_filter_depth = 7
probe_bucket_bits = 6
k = 45
backend = u96
GPU = NVIDIA RTX 6000 Ada Generation  SMs=142  blocks=1136  threads=128  claim_batch=64

  probe_trials=97753692 elapsed=38.411 rate_Mps=2.544930 target_survivors=712 y_draws=1564120572
  probe_trials=99999696 elapsed=39.736 rate_Mps=2.516572 target_survivors=730 y_draws=1628613897
  probe_trials=99999706 elapsed=39.738 rate_Mps=2.516477 target_survivors=730 y_draws=1628750818
  probe_trials=99999716 elapsed=39.740 rate_Mps=2.516370 target_survivors=730 y_draws=1628888181
  probe_trials=99999726 elapsed=39.741 rate_Mps=2.516277 target_survivors=730 y_draws=1629025191
  probe_trials=99999736 elapsed=39.743 rate_Mps=2.516177 target_survivors=730 y_draws=1629162299
  probe_trials=99999746 elapsed=39.744 rate_Mps=2.516081 target_survivors=730 y_draws=1629299743
  probe_trials=99999754 elapsed=39.746 rate_Mps=2.515982 target_survivors=730 y_draws=1629436438
  probe_trials=99999762 elapsed=39.747 rate_Mps=2.515887 target_survivors=730 y_draws=1629573546
  probe_trials=99999770 elapsed=39.749 rate_Mps=2.515789 target_survivors=730 y_draws=1629710469
  probe_trials=99999778 elapsed=39.751 rate_Mps=2.515682 target_survivors=730 y_draws=1629847649
  probe_trials=99999786 elapsed=39.752 rate_Mps=2.515568 target_survivors=730 y_draws=1629984727
  probe_trials=99999794 elapsed=39.754 rate_Mps=2.515474 target_survivors=730 y_draws=1630121803
  probe_trials=99999802 elapsed=39.755 rate_Mps=2.515381 target_survivors=730 y_draws=1630259064
  probe_trials=99999810 elapsed=39.757 rate_Mps=2.515287 target_survivors=730 y_draws=1630396495
  probe_trials=99999816 elapsed=39.758 rate_Mps=2.515194 target_survivors=730 y_draws=1630533339
  probe_trials=99999822 elapsed=39.760 rate_Mps=2.515093 target_survivors=730 y_draws=1630670335
  probe_trials=99999828 elapsed=39.761 rate_Mps=2.515000 target_survivors=730 y_draws=1630807176
  probe_trials=99999834 elapsed=39.763 rate_Mps=2.514902 target_survivors=730 y_draws=1630944507
  probe_trials=99999840 elapsed=39.764 rate_Mps=2.514807 target_survivors=730 y_draws=1631081019
  probe_trials=99999846 elapsed=39.766 rate_Mps=2.514704 target_survivors=730 y_draws=1631217999
  probe_trials=99999852 elapsed=39.768 rate_Mps=2.514591 target_survivors=730 y_draws=1631355139
  probe_trials=99999858 elapsed=39.769 rate_Mps=2.514496 target_survivors=730 y_draws=1631492251
  probe_trials=99999864 elapsed=39.771 rate_Mps=2.514402 target_survivors=730 y_draws=1631629620
  probe_trials=99999870 elapsed=39.772 rate_Mps=2.514298 target_survivors=730 y_draws=1631766300
  probe_trials=99999876 elapsed=39.774 rate_Mps=2.514198 target_survivors=730 y_draws=1631903210
  probe_trials=99999880 elapsed=39.776 rate_Mps=2.514102 target_survivors=730 y_draws=1632040176
  probe_trials=99999884 elapsed=39.777 rate_Mps=2.514008 target_survivors=730 y_draws=1632177253
  probe_trials=99999888 elapsed=39.779 rate_Mps=2.513916 target_survivors=730 y_draws=1632314333
  probe_trials=99999892 elapsed=39.780 rate_Mps=2.513819 target_survivors=730 y_draws=1632451388
  probe_trials=99999896 elapsed=39.782 rate_Mps=2.513725 target_survivors=730 y_draws=1632588451
  probe_trials=99999900 elapsed=39.783 rate_Mps=2.513631 target_survivors=730 y_draws=1632725612
  probe_trials=99999904 elapsed=39.785 rate_Mps=2.513538 target_survivors=730 y_draws=1632862737
  probe_trials=99999908 elapsed=39.786 rate_Mps=2.513436 target_survivors=730 y_draws=1632999689
  probe_trials=99999912 elapsed=39.788 rate_Mps=2.513342 target_survivors=730 y_draws=1633136665
  probe_trials=99999916 elapsed=39.790 rate_Mps=2.513217 target_survivors=730 y_draws=1633273611
  probe_trials=99999920 elapsed=39.791 rate_Mps=2.513125 target_survivors=730 y_draws=1633410698
  probe_trials=99999924 elapsed=39.793 rate_Mps=2.513031 target_survivors=730 y_draws=1633547628
  probe_trials=99999928 elapsed=39.794 rate_Mps=2.512937 target_survivors=730 y_draws=1633684780
  probe_trials=99999932 elapsed=39.796 rate_Mps=2.512841 target_survivors=730 y_draws=1633822041
  probe_trials=99999936 elapsed=39.797 rate_Mps=2.512744 target_survivors=730 y_draws=1633959031
  probe_trials=99999938 elapsed=39.799 rate_Mps=2.512652 target_survivors=730 y_draws=1634095993
  probe_trials=99999940 elapsed=39.800 rate_Mps=2.512556 target_survivors=730 y_draws=1634232664
  probe_trials=99999942 elapsed=39.802 rate_Mps=2.512464 target_survivors=730 y_draws=1634369632
  probe_trials=99999944 elapsed=39.803 rate_Mps=2.512369 target_survivors=730 y_draws=1634506518
  probe_trials=99999946 elapsed=39.805 rate_Mps=2.512277 target_survivors=730 y_draws=1634643559
  probe_trials=99999948 elapsed=39.806 rate_Mps=2.512185 target_survivors=730 y_draws=1634780517
  probe_trials=99999950 elapsed=39.807 rate_Mps=2.512091 target_survivors=730 y_draws=1634917466
  probe_trials=99999952 elapsed=39.809 rate_Mps=2.511998 target_survivors=730 y_draws=1635054455
  probe_trials=99999954 elapsed=39.810 rate_Mps=2.511904 target_survivors=730 y_draws=1635191588
  probe_trials=99999956 elapsed=39.812 rate_Mps=2.511810 target_survivors=730 y_draws=1635328248
  probe_trials=99999958 elapsed=39.813 rate_Mps=2.511715 target_survivors=730 y_draws=1635465172
  probe_trials=99999960 elapsed=39.815 rate_Mps=2.511622 target_survivors=730 y_draws=1635601907
  probe_trials=99999962 elapsed=39.816 rate_Mps=2.511529 target_survivors=730 y_draws=1635739152
  probe_trials=99999964 elapsed=39.818 rate_Mps=2.511419 target_survivors=730 y_draws=1635876193
  probe_trials=99999966 elapsed=39.820 rate_Mps=2.511326 target_survivors=730 y_draws=1636013272
  probe_trials=99999968 elapsed=39.821 rate_Mps=2.511234 target_survivors=730 y_draws=1636150513
  probe_trials=99999970 elapsed=39.823 rate_Mps=2.511141 target_survivors=730 y_draws=1636287948
  probe_trials=99999972 elapsed=39.824 rate_Mps=2.511048 target_survivors=730 y_draws=1636424774
  probe_trials=99999974 elapsed=39.826 rate_Mps=2.510953 target_survivors=730 y_draws=1636562007
  probe_trials=99999976 elapsed=39.827 rate_Mps=2.510859 target_survivors=730 y_draws=1636698963
  probe_trials=99999978 elapsed=39.829 rate_Mps=2.510764 target_survivors=730 y_draws=1636836087
  probe_trials=99999980 elapsed=39.830 rate_Mps=2.510671 target_survivors=730 y_draws=1636973274
  probe_trials=99999982 elapsed=39.831 rate_Mps=2.510576 target_survivors=730 y_draws=1637110280
  probe_trials=99999984 elapsed=39.833 rate_Mps=2.510482 target_survivors=730 y_draws=1637247435
  probe_trials=99999986 elapsed=39.835 rate_Mps=2.510378 target_survivors=730 y_draws=1637384465
  probe_trials=99999988 elapsed=39.836 rate_Mps=2.510278 target_survivors=730 y_draws=1637521379
  probe_trials=99999990 elapsed=39.838 rate_Mps=2.510184 target_survivors=730 y_draws=1637658705
  probe_trials=99999992 elapsed=39.839 rate_Mps=2.510078 target_survivors=730 y_draws=1637795557
  probe_trials=99999994 elapsed=39.841 rate_Mps=2.509984 target_survivors=730 y_draws=1637932382
  probe_trials=99999996 elapsed=39.842 rate_Mps=2.509889 target_survivors=730 y_draws=1638069435
  probe_trials=99999998 elapsed=39.844 rate_Mps=2.509797 target_survivors=730 y_draws=1638206213
  probe_trials=100000000 elapsed=39.845 rate_Mps=2.509704 target_survivors=730 y_draws=1638343094

Stratum probe summary:
  mode=x16ecoverd3probe source_kind=ecover_random_affine_xplus1_prefix_d backend=u96 GPU="NVIDIA RTX 6000 Ada Generation" seed_mode=identity seed_offset=0
  prefix_filter_depth=7
  accepted_roots=100000000 y_draws=1638343094 nonsplit_y=409605682 sqrtD_y=204809021 roots_valid=408424166
  target_depth=24 survivors=730 rate=0.000007300 elapsed=39.845343 accepted_rate_Mps=2.509704 source_draws_per_accepted=16.383431 target_per_source_draw=0.000000445572 target_survivor_per_sec=18.320836
  prefix total=50000000 survivors=354 rate=0.000007080
  heldout total=50000000 survivors=376 rate=0.000007520
  depth survival checkpoints:
    depth>=4 count=100000000 rate=1.000000000
    depth>=6 count=100000000 rate=1.000000000
    depth>=8 count=49996692 rate=0.499966920
    depth>=10 count=12493530 rate=0.124935300
    depth>=12 count=3119702 rate=0.031197020
    depth>=14 count=780840 rate=0.007808400
    depth>=16 count=194768 rate=0.001947680
    depth>=18 count=48138 rate=0.000481380
    depth>=20 count=12292 rate=0.000122920
    depth>=22 count=3014 rate=0.000030140
    depth>=24 count=730 rate=0.000007300
  top buckets selected by prefix lift (min prefix total 100):
    bucket q_sheet key prefix_total prefix_surv prefix_lift held_total held_surv held_lift promotion
    101 1 37 389934 7 2.536 390651 3 1.021 no
    0 0 0 391365 7 2.526 391471 3 1.019 no
    49 0 49 389085 6 2.178 389861 2 0.682 no
    87 1 23 389903 6 2.174 390766 2 0.681 no
    92 1 28 389940 6 2.173 389592 4 1.365 no
    47 0 47 389960 6 2.173 391031 6 2.040 no
    16 0 16 390179 6 2.172 390426 2 0.681 no
    66 1 2 390422 6 2.171 391114 2 0.680 no
    90 1 26 390972 6 2.168 390920 0 0.000 no
    27 0 27 391317 6 2.166 390412 3 1.022 no
    24 0 24 391450 6 2.165 389818 5 1.706 no
    11 0 11 389665 5 1.812 391187 2 0.680 no
scope_probe_jsonl={"mode":"x16ecoverd3probe","source_kind":"ecover_random_affine_xplus1_prefix_d","narrowing_source":true,"scope_narrowing":true,"p":"1000000000000000000000000103","backend":"u96","gpu":"NVIDIA RTX 6000 Ada Generation","seed_mode":"identity","seed_offset":0,"target_depth":24,"prefix_filter_depth":7,"bucket_bits":6,"elapsed":39.845343,"accepted_rate_Mps":2.509704,"accepted_roots":100000000,"source_draws":1638343094,"nonsplit_y":409605682,"sqrtD_y":204809021,"roots_valid":408424166,"target_survivors":730,"target_rate":0.000007300000,"source_draws_per_accepted":16.383430940000,"target_per_source_draw":0.000000445572,"target_survivor_per_sec":18.320836,"prefix_total":50000000,"prefix_survive":354,"held_total":50000000,"held_survive":376,"survive_4":100000000,"survive_6":100000000,"survive_8":49996692,"survive_10":12493530,"survive_12":3119702,"survive_14":780840,"survive_16":194768,"survive_18":48138,"survive_20":12292,"survive_22":3014,"survive_24":730}

Probe completed in 39.85s. trials=100000000 interval_trials=100000000 rate_Mps=2.509704
